1.0000    0.0000
0.9500    -0.0119
0.9000    -0.0286
0.8000    -0.0541
0.7000    -0.0771
0.6000    -0.0957
0.5000    -0.1085
0.4000    -0.1140
0.3000    -0.1107
0.2500    -0.1049
0.2000    -0.0966
0.1500    -0.0854
0.1000    -0.0701
0.0750    -0.0607
0.0500    -0.0493
0.0250    -0.0343
0.0125    -0.0246
0.0000    -0.0000
0.0125    0.0166
0.0250    0.0210
0.0500    0.0267
0.0750    0.0304
0.1000    0.0332
0.1500    0.0367
0.2000    0.0387
0.2500    0.0396
0.3000    0.0394
0.4000    0.0347
0.5000    0.0260
0.6000    0.0146
0.7000    0.0030
0.8000    -0.0064
0.9000    -0.0086
0.9500    -0.0043
1.0000    0.0000
