Y X
309.7142857	100.3571429
309.7142857	100.3571429
321.25	108.8333333
324.7	118.5
327.5	130
329.6666667	142
331.25	154
332.75	166
333.7142857	177.5
334.5833333	190
335.5	202
336.0833333	214
336.5833333	226
337.0833333	238
337.3333333	250
337.9166667	262
337.8571429	273.5
337.9166667	286
337.9166667	298
337.8333333	310
337	322
337	334
336.5833333	346
336	358
335.25	370
334.583333	382
332.75	406
331.75	418
330.6428571	429.5
329.5714286	441.5
328.4285714	453.5
327.1666667	465
325.9166667	477
324.4166667	489
323.1666667	501
321.8333333	513
320.3333333	525
319.0833333	537
317.6666667	549
316.25	561
315	573
313.6666667	585
312.1666667	597
311	609
309.8333333	621
308.75	633
307.75	645
306.8333333	657
306.0	668.5
305.3	680.5
304.9	692.5
304.1	704.5
304	716.5
311.4166667	800
311.4166667	800
