100.35714285714286, 309.7142857142857
107.78571428571429, 293.57142857142856
108.83333333333333, 321.25
119.92857142857143, 284.14285714285717
118.5, 324.7
130, 327.5
131, 277.4166666666667
142, 272
142, 329.6666666666667
153, 267.3333333333333
154, 331.25
164, 262.9166666666667
166, 332.75
176, 258.9166666666667
177.5, 333.7142857142857
187, 255.33333333333334
190, 334.5833333333333
199, 251.91666666666666
202, 335.5
210, 249
214, 336.0833333333333
222, 246.16666666666666
226, 336.5833333333333
234, 243.66666666666666
238, 337.0833333333333
245.5, 241.42857142857142
250, 337.3333333333333
257, 239.25
262, 337.9166666666667
269, 237.58333333333334
273.5, 337.85714285714283
281, 235.91666666666666
286, 337.9166666666667
293, 234.66666666666666
298, 337.9166666666667
305, 233.25
310, 337.8333333333333
317, 232.16666666666666
322, 337
329, 231.58333333333334
334, 337
341, 231
346, 336.5833333333333
353, 230.58333333333334
358, 336
365, 230.5
370, 335.25
377, 230.5
382, 334.5833333333333
389, 230.83333333333334
394, 333.6666666666667
401, 231
406, 332.75
413, 232
418, 331.75
425, 232.41666666666666
429.5, 330.64285714285717
437, 233.33333333333334
441.5, 329.57142857142856
449, 234.5
453.5, 328.42857142857144
461, 235.75
465, 327.1666666666667
473, 237.16666666666666
477, 325.9166666666667
485, 238.58333333333334
489, 324.4166666666667
497, 240.16666666666666
501, 323.1666666666667
509, 242.08333333333334
513, 321.8333333333333
520, 243.75
525, 320.3333333333333
532, 245.75
537, 319.0833333333333
544, 247.83333333333334
549, 317.6666666666667
556, 250.08333333333334
561, 316.25
568, 252.33333333333334
573, 315
579, 254.66666666666666
585, 313.6666666666667
591, 257.1666666666667
597, 312.1666666666667
602.5, 259.6
609, 311
615, 262.3333333333333
621, 309.8333333333333
626, 265
633, 308.75
638, 267.9166666666667
645, 307.75
650, 270.5833333333333
657, 306.8333333333333
661, 273.5
668.5, 306
673, 276.4166666666667
680.5, 305.3
685, 279.4166666666667
692.5, 304.9
696, 282.25
704.5, 304.1
708, 285.4166666666667
716.5, 304
720, 288.5833333333333
728.5, 304
731, 291.5
741.8, 299
754, 300.8125
765.5, 303.14285714285717
777, 305.6944444444444
788.5, 308.7142857142857
800, 311.4166666666667
